id,docente,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes
188,Melissa Leandro Celestino,"BACCA, ODAIR",2025,"Identification of stiff-knee gait in stroke survivors. BMC Biomedical Engineering, v. 7, p. 11, 2025",artigo,BMC Biomedical Engineering,,,,,,,,,,origem=planilha_nova
189,Saulo Fernandes Melo de Oliveira,"BANJA, TÚLIO",2023,"Effect of lower limb fatigue and performance prediction in CrossFit®. JOURNAL OF PHYSICAL EDUCATION AND SPORT, v. 33, p. 714-721, 2023",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,origem=planilha_nova
190,Bruno Teixeira Barbosa,"BARBOSA, B",2025,Sono em Foco: Educação sobre Sono para Profissionais de Saúde,livro,,,,,,,,,,90,origem=planilha_nova
191,Bruno Teixeira Barbosa,"BARBOSA, B. T",2025,"T.; PEREIRA, D",capitulo,,,,,,,,,,45,origem=planilha_nova
192,Rafael dos Santos Henrique,"BARBOSA, M. A. A",2022,Comparison of affective responses during school physical education classes with different recovery times,artigo,JOURNAL OF PHYSICAL EDUCATION (ONLINE),,,24482455,10.4025/jphyseduc.v36i1.3607,,Scopus (SJR),,,90,origem=planilha_nova
193,Lucas Eduardo Rodrigues dos Santos,"BARBOSA, M. A. A",2022,COMPARISON OF AFFECTIVE RESPONSES DURING SCHOOL PHYSICAL EDUCATION CLASSES WITH DIFFERENT RECOVERY TIMES,artigo,JOURNAL OF PHYSICAL EDUCATION (ONLINE),,,24482455,10.4025/jphyseduc.v36i1.3607,,Scopus (SJR),,,90,origem=planilha_nova
194,Melissa Leandro Celestino,"Barela, A. M. F",2023,"Use of force plates to investigate human motor performance. Brazilian Journal of Motor Behavior, v. 17, p. 175-181, 2023",artigo,Brazilian Journal of Motor Behavior,,,,,,Scopus (SJR),,,90,origem=planilha_nova
195,Melissa Leandro Celestino,"Barela, A. M. F",2021,"Gait alterations induced by unloaded body weight in individuals with stroke while walking on moveable and fixed surfaces. MEDICAL ENGINEERING & PHYSICS, v. 95, p. 9-14, 2021",artigo,MEDICAL ENGINEERING & PHYSICS,,,,,,Scopus (SJR),,,90,origem=planilha_nova
196,Melissa Leandro Celestino,"BARELA, ANA M. F",2025,"INFOGRAPHIC: exploring gait coordination using the vector coding technique. Brazilian Journal of Motor Behavior, v. 18, p. e456, 2025",artigo,Brazilian Journal of Motor Behavior,,,,,,Scopus (SJR),,,90,origem=planilha_nova
197,Tony Meireles dos Santos,"BARRETO, C. B",2021,"Proof-of-Concept and Test-Retest Reliability Study of Psychological and Physiological Variables of the Mental Fatigue Paradigm. International Journal of Environmental Research and Public Health, v. 18, p. 9532, 2021",artigo,International Journal of Environmental Research and Public Health,,,16604601,10.3390/ijerph23020221,,Web of Science (JCR); Scopus (SJR),,,90,origem=planilha_nova
198,Paulo Roberto Cavalcanti Carvalho,"Barros, G. W. P",2024,"Treinamento de força e resistência em citocinas e composição corporal de pessoas com HIV/AIDS. REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE), v. 30, p. 1-6, 2024",artigo,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE),,,,,,,,,,origem=planilha_nova
199,Paulo Roberto Cavalcanti Carvalho,"Barros, G. W. P",2021,Nível de atividade física e qualidade de vida de idosos participantes e não participantes de grupos em uma USF em Recife,capitulo,,,,,,,,,,45,origem=planilha_nova
