id,docente,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes
30,Carla Meneses Hardman,"SILVA, L. B",2025,Relação longitudinal da atividade física e do comportamento sedentário com a ansiedade e o estresse psicológico em adolescentes durante a pandemia de COVID-19,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n8-084,,,,,,
31,Carla Meneses Hardman,"SATURNINO, L. R. L",2025,Relação dos indicadores de atividade física e comportamento sedentário com as dimensões do isolamento social em adolescentes,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n8-080,,,,,,
32,Carla Meneses Hardman,"QUEIROZ, DANIEL DA ROCHA",2025,The importance of the moderate-to-vigorous physical activity and sedentary behavior combined pattern on the association between body mass index and motor competence in children,artigo,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,,,23171634,10.12820/rbafs.30e0411,,Scopus (SJR),,,90,
33,Daniel Da Rocha Queiroz,"LIMA, T. J. S",2025,"Physical growth, school environment, and birth information in the physical activity of children: a multilevel analysisCrecimiento físico, entorno escolar e información del nacimiento en la actividad física de los niños: un análisis multinivelCrescimento físico, ambiente escolar e informação sobre a atividade física infantil à nascença: uma análise multinível",artigo,RETOS,,,19882041,10.47197/retos.v68.109408,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
34,Daniel Da Rocha Queiroz,"CARDOSO, D. S",2025,"Latent class analysis between physical activity, screen time and sleep: Association with obesity in youth",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,10.7752/jpes.2025.04096,,Scopus (SJR),,,90,
35,Daniel Da Rocha Queiroz,"ROCHA, K. B. S",2025,Comportamentos de Movimento de 24 horas em Crianças e Adolescentes: Protocolo de Revisão de Escopo,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n4-164,,,,,,
36,Daniel Da Rocha Queiroz,"FEITOSA, S. B",2025,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?",artigo,Motriz,,,19806574,10.5016/s1980-6574e10229089,,Scopus (SJR),,,90,
37,Daniel Da Rocha Queiroz,"CARDOSO, D. S",2025,"Association of physical activity, screen time, and sleep recommendations with excess weight in adolescents",artigo,RETOS,,,19882041,10.47197/retos.v72.113173,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
38,Daniel Da Rocha Queiroz,"FREIRE, J. C",2025,Relação dos indicadores de atividade física com o estresse ocupacional e a Síndrome de Burnout em policiais: um protocolo de revisão sistemática,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n8-066,,,,,,
39,Daniel Da Rocha Queiroz,"SILVA, I. N. L",2025,Associação entre o nível de atividade física e os domínios da síndrome de burnout em servidores da Polícia Federal do Brasil,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n8-068,,,,,,
