Carimbo de data/hora,Nome do docente,Anos de vigência da captação [2021],Anos de vigência da captação [2022],Anos de vigência da captação [2023],Anos de vigência da captação [2024],Anos de vigência da captação [2025],Anos de vigência da captação [2026],Anos de vigência da captação [2027],Anos de vigência da captação [2028],Anos de vigência da captação [2029],Anos de vigência da captação [2030],Anos de vigência da captação [2031],"Título do projeto, auxílio, bolsa ou captação",Tipo de captação,Situação da captação,Agência ou fonte de fomento,Nome do edital ou chamada,Número do edital ou chamada,Ano do edital,Valor total aprovado,Valor aprovado para capital,Valor aprovado para consumo/custeio,Valor aprovado para bolsas,"Caso a captação envolva bolsa, informe a destinação",Quantidade de bolsas,Duração total das bolsas em meses,Valor total destinado às bolsas,Número de alunos de mestrado vinculados,Número de alunos de doutorado vinculados
15/06/2026 13:34:55,Eduardo Zapaterra Campos,Sim,Sim,Sim,,,,,,,,," Impacto de uma intervenção com práticas esportivas, criativas e de jogos e brincadeiras, nas capacidades físicas e cognitivas de crianças em alta vulnerabilidade social",Projeto de pesquisa,Concluída,FACEPE,Edital APQ,16/2021,2021,"R$ 47.545,00","R$ 40.000,00",7545,0,Não se aplica,0,0,0,1,0
15/06/2026 13:44:16,Eduardo Zapaterra Campos,,Sim,Sim,,,,,,,,,Caracterização metabólica do frevo e comparação de respostas fisiológicas e psicométricas com protocolo de exercício intervalado convencional,Bolsa,Concluída,FACEPE,PBPG,35,2022,"R$ 48.000,00","R$ 0,00",0,48000,Mestrado,1,24,48000,1,0
15/06/2026 13:51:50,Eduardo Zapaterra Campos,,,,,,Sim,Sim,Sim,,,,"Impacto de uma intervenção com práticas esportivas, criativas e de jogos e brincadeiras, nas capacidades físicas e cognitivas de crianças em alta vulnerabilidade social",Bolsa,Em execução,FACEPE,PBPG,29,2024,"R$ 50.400,00","R$ 0,00",0,50400,Mestrado,1,24,50400,1,0
15/06/2026 09:13:20,Guilherme Assunção Ferreira,Sim,,,,,,,,,,,SUPLEMENTAÇÃO DE CAFEÍNA COMO ESTRATÉGIA PARA REVERTER A QUEDA DE DESEMPENHO COM RESTRIÇÃO DE SONO,Bolsa,Concluída,FACEPE,Edital 01/2021 - PIBIC 2021,,2021,"R$ 6.000,00","R$ 0,00",0,6000,Iniciação científica,1,12,6000,1,0
15/06/2026 09:18:03,Guilherme Assunção Ferreira,,Sim,,,,,,,,,,SUPLEMENTAÇÃO DE CAFEÍNA COMO ESTRATÉGIA PARA REVERTER A QUEDA DE DESEMPENHO COM RESTRIÇÃO DE SONO,Bolsa,Concluída,FACEPE,"Edital 05/2022 - PIBIC 2022,",,2022,"R$ 7.800,00","R$ 0,00",0,7800,Iniciação científica,2,6,7800,2,0
15/06/2026 09:21:42,Guilherme Assunção Ferreira,,,Sim,,,,,,,,,"A manipulação da duração do esforço durante o exercício intervalado de alta intensidade, como estratégia para aumentar o estresse cronotrópico sem aumentar a fatigabilidade do desempenho em indivíduos fisicamente ativos",Bolsa,Concluída,FACEPE,EDITAL: PIBIC 2023 - 01/2023,,2023,"R$ 8.400,00","R$ 0,00",0,8400,Iniciação científica,1,12,8400,1,0
15/06/2026 09:26:47,Guilherme Assunção Ferreira,,,,,Sim,,,,,,,Suplementação de cafeína como estratégia para reverter a queda de desempenho com restrição de sono,Bolsa,Em execução,FACEPE,EDITAL: PIBIC 2025 - 01/2025,,2025,"R$ 9.600,00","R$ 0,00",0,9600,Iniciação científica,1,12,9600,0,0
15/06/2026 09:33:06,Guilherme Assunção Ferreira,Sim,Sim,Sim,,,,,,,,,Suplementação de cafeína como estratégia para reverter a queda de desempenho com restrição de sono,Projeto de pesquisa,Concluída,FACEPE,Fluxo contínuo - PROCESSO Nº BFP-0131-4.05/21,PROCESSO Nº BFP-0131-4.05/21,2021,"R$ 105.600,00","R$ 0,00",0,105600,Outra,1,24,105600,1,0
11/06/2026 16:16:43,Melissa Leandro Celestino,,,,Sim,Sim,Sim,,,,,,"Recreia: Potencializando as capacidades físicas, sociais e educacionais das crianças em situação de vulnerabilidade","Projeto de pesquisa, Projeto de extensão, Infraestrutura",Em execução,FACEPE,Estudos Étnico-Raciais Solano Trindade,  21/2024,2024,"R$ 85.800,00","R$ 58.000,00","R$ 32.800,00","R$ 0,00",Não se aplica,0,0,0,1,0
11/06/2026 16:18:53,Melissa Leandro Celestino,,,,Sim,Sim,Sim,,,,,,Análise biomecânica no paratletismo,"Projeto de pesquisa, Infraestrutura",Em execução,FACEPE,Auxílio a Projetos de Pesquisa - APQ,18/2024,2024,"R$ 75.653,00","R$ 75.653,00","R$ 0,00","R$ 0,00",Não se aplica,0,0,0,1,0
12/06/2026 13:56:57,Paulo Felipe Ribeiro Bandeira,,Sim,,,,,,,,,,"Projeto Soldadinho do Araripe: Efeito de uma intervenção motora na competência motora,cognição e saúde de crianças: Algoritmo de redes complexas",Projeto de pesquisa,Concluída,Outra,FUNCAP," BOLSA DE PRODUTIVIDADE EM PESQUISA, ESTÍMULO À INTERIORIZAÇÃO E INOVAÇÃO TECNOLÓGICA – BPI 04/2022",2022,"R$ 80.700,00","R$ 30.000,00","R$ 6.000,00","R$ 44.700,00",Produtividade em pesquisa,1,24,44700,3,0
12/06/2026 13:59:49,Paulo Felipe Ribeiro Bandeira,,,,Sim,,,,,,,,Avaliação da progressão individual e coletiva da cooperação competência motora e cognitiva em crianças durante e após um programa de intervenção motor,"Projeto de pesquisa, Diárias e Passagens, Bolsa",Em execução,Outra,FUNCAP," BOLSA DE PRODUTIVIDADE EM PESQUISA, ESTÍMULO À INTERIORIZAÇÃO E INOV. TECNOL. - BPI EDITAL nº 11/2024",2024,"R$ 92.400,00","R$ 18.000,00","R$ 12.000,00","R$ 62.400,00",Produtividade em pesquisa,1,24,62400,3,0
12/06/2026 14:03:38,Paulo Felipe Ribeiro Bandeira,,,Sim,,,,,,,,,"CARTOGRAFIA DE REDES: UM NOVO MÉTODO PARA AVALIAR COOPERAÇÃO, DESENVOLVIMENTO MOTOR E COGNITIVO EM CRIANÇAS NAS AULAS DE EDUCAÇÃO FÍSICA","Projeto de pesquisa, Diárias e Passagens, Projeto de inovação/tecnologia, Bolsa",Concluída,Outra,FUNCAP, EDITAL Nº 07/2023 - FUNCAP PRÓ-HUMANIDADES,2023,"R$ 100.000,00","R$ 51.808,00","R$ 19.391,00","R$ 28.800,00",Iniciação tecnológica,1,12,28800,3,
14/06/2026 16:22:42,Paulo Roberto Cavalcanti Carvalho,,Sim,,Sim,,,,,,,,Efeitos de um programa de exercício físico para indivíduos pré e pós cirurgia Bariatrica ,Bolsa,Concluída,FACEPE,Pibic,Pibic,2023,"R$ 8.400,00","R$ 8.400,00","R$ 0,00","R$ 8.400,00",Iniciação científica,2,12,8400,0,0
12/06/2026 08:03:38,Rafael dos Santos Henrique,,,,Sim,Sim,Sim,,,,,,Autocuidado em saúde e combate às doenças crônicas não transmissíveis ,Projeto de pesquisa,Em execução,FACEPE,APQ - Universal - 18/2024,18/2024,2024,"R$ 74.998,00","R$ 55.478,00","R$ 7.520,00","R$ 12.000,00",Apoio técnico,1,12,12000,2,2
12/06/2026 08:08:29,Rafael dos Santos Henrique,,,,Sim,Sim,Sim,Sim,,,,,Autocuidado em saúde e combate às doenças crônicas não transmissíveis,"Projeto de inovação/tecnologia, Bolsa",Em execução,CNPq,Chamada CNPq Nº 04/2023 - Bolsa de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT,04/2023,2023,"R$ 33.900,00","R$ 0,00","R$ 0,00","R$ 33.900,00",Desenvolvimento tecnológico,1,36,33900,,
14/06/2026 10:11:16,Rafael dos Santos Henrique,,Sim,Sim,Sim,Sim,,,,,,,Vida Saudável em Lagoa do Carro II: Impacto da pandemia sobre indicadores de saúde de crianças e adolescentes,Projeto de pesquisa,Concluída,FACEPE,FACEPE — Programa Estadual de Pesquisa Aplicada ao SUS - 19/2022,19/2022,2022,"R$ 99.934,00","R$ 99.934,00","R$ 0,00","R$ 0,00",Não se aplica,0,0,0,7,1
14/06/2026 13:05:27,Rafael dos Santos Henrique,,,,Sim,Sim,Sim,,,,,,"Rede de Inovação em Saúde, Bem-Estar e Esporte",Projeto de inovação/tecnologia,Em execução,FACEPE,Edital nº 21/2023-FACEPE – Apoio às Redes de Inovação de Pernambuco,21/2023,2023,"R$ 244.140,00","R$ 0,00","R$ 122.240,00","R$ 121.900,00","Iniciação tecnológica, Desenvolvimento tecnológico, Apoio técnico",4,18,121900,3,0
14/06/2026 13:07:23,Rafael dos Santos Henrique,,Sim,,,,,,,,,,G+Health: aplicativo para avaliação de saúde de crianças e adolescentes,Projeto de inovação/tecnologia,Concluída,FACEPE,Programa de Extensão Tecnológica – PET segunda rodada 2022 - 22/2022,22/2022,2022,"R$ 24.600,00","R$ 0,00","R$ 0,00","R$ 24.600,00",Iniciação tecnológica,11,3,24600,0,0
14/06/2026 13:12:32,Rafael dos Santos Henrique,Sim,Sim,,,,,,,,,,Monitoramento e gestão de indicadores de saúde de escolares de Lagoa do Carro-PE,Projeto de inovação/tecnologia,Concluída,FACEPE,Programa de Extensão Tecnológica para Governo - 19/2021,19/2021,2021,"R$ 153.800,00","R$ 0,00","R$ 0,00","R$ 153.800,00","Mestrado, Apoio técnico",10,8,153800,4,2
14/06/2026 13:15:34,Rafael dos Santos Henrique,Sim,Sim,,,,,,,,,,Sistema de avaliação e monitoramento do desempenho motor,"Projeto de inovação/tecnologia, Bolsa",Concluída,FACEPE,Programa de Extensão Tecnológica - 12/2021,12/2021,2021,"R$ 23.800,00","R$ 0,00","R$ 0,00","R$ 23.800,00","Iniciação tecnológica, Apoio técnico",11,3,23800,4,0
14/06/2026 13:17:27,Rafael dos Santos Henrique,Sim,Sim,Sim,,,,,,,,,Vida Saudável em Lagoa do Carro II: Impacto da pandemia sobre indicadores de saúde de crianças e adolescentes,Projeto de pesquisa,Concluída,FACEPE,APQ Jovens Pesquisadores 2021 - 16/2021,16/2021,2021,"R$ 29.900,00","R$ 29.900,00","R$ 0,00","R$ 0,00",Não se aplica,0,0,0,8,2
14/06/2026 13:19:17,Rafael dos Santos Henrique,,Sim,Sim,Sim,,,,,,,,Autocuidado em saúde e combate às doenças crônicas não transmissíveis em escolares em situação de vulnerabilidade social,"Projeto de pesquisa, Projeto de inovação/tecnologia",Concluída,FACEPE,Apoio à Pesquisa para o Enfrentamento de Desigualdades Sociais - 28/2022,28/2022,2022,"R$ 199.987,00","R$ 199.987,00","R$ 0,00","R$ 0,00",Não se aplica,0,0,0,4,2
