excel_row,docente,ano,periodico,doi_identificado,issn_identificado,titulo_extraido_local
374,Saulo Fernandes Melo de Oliveira,,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE),,,Protocolo para avaliacao da precisao de jogadores de bocha paralimpica
376,Vilde Gomes de Menezes,,134181,10.22456/2595-4377.134181,2595-4377,Educacao fisica e cibercultura em Escolas de Referencia em Ensino Medio (EREM) da regiao metropolitana do Recife -PE
377,Rafael dos Santos Henrique,,European Journal of Sport Science,,,"Anthropometric variables, propulsive force and biological maturation: A mediation analysis in young swimmers"
378,Daniel da Rocha Queiroz,,European Journal of Sport Science,,,"Anthropometric variables, propulsive force and biological maturation: A mediation analysis in young swimmers"
380,Saulo Fernandes Melo de Oliveira,,,,,"Heart rate, oxygen uptake, and energy expenditure response of an SL3 class parabadminton athlete to a progressive test and simulated training session: a case study"
385,Lucas Eduardo Rodrigues dos Santos,,Frontiers in Immunology,,,"The Relevance of a Physical Active Lifestyle and Physical Fitness on Immune Defense: Mitigating Disease Burden, With Focus on COVID-19 Consequences"
386,Rafael dos Santos Henrique,,Children-Basel,,,The Similarity degree of the anthropometric and body compo-sition variables of Brazilian and Mozambican schoolchildren: a new approach using Smoothed Jaccard Index Surface
391,Vilde Gomes de Menezes,,Revista peruana de atividade física e ciências do esporte,,1297-1306,Plan de estudios de los cursos de educacion fisica en Brasil y la formacion de profesionales en el perfil de los gestores deportivos
394,Vilde Gomes de Menezes,,Revista Brasileira de Educação Física e Esporte,,,Historia de vida de ex-jogadores profissionais de futebol em Pernambuco: sonho e influencia parental
398,Tony Meireles dos Santos,,JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,,,Effect of active versus passive recovery on performance-related outcome during high-intensity interval exercise
400,Clarice Maria de Lucena Martins,,SCIENCE & SPORTS,,,A six-month multicomponent intervention improves Down syndrome adolescents? physical fitness
401,Paulo Felipe Ribeiro Bandeira,,SCIENCE & SPORTS,,,A six-month multicomponent intervention improves Down syndrome adolescents? physical fitness
402,Pedro Pinheiro Paes Neto,,Revista Peruana de la Actividad Fisica y del Deporte,,,Plan de estudios de los cursos de educacion fisica en Brasil y la formacion de profesionales en el perfil de los gestores deportivos
408,Rafael dos Santos Henrique,,Perceptual and Motor Skills,,,Do individual and school characteristics influence the siblings resemblance of gross motor coordination among Brazilian youth?
409,Leonardo Gomes de Oliveira Luz,,PERCEPTUAL AND MOTOR SKILLS,,,Do Individual and School Characteristics Influence the Siblings' Resemblance of Gross Motor Coordination Among Brazilian Youth?
411,Daniel da Rocha Queiroz,,CADERNOS DE SAÚDE PÚBLICA,,,"Consumo de alcool e drogas ilicitas e envolvimento de adolescentes em violencia fisica em Pernambuco, Brasil"
412,Paulo Felipe Ribeiro Bandeira,,German Journal Of Exercise And Sport Research,,,Altersabhangige Unterschiede bei der Leistung in Bezug auf die winkelspezifische Richtungsanderung im Basketball: eine Netzwerkanalyse
413,Paulo Felipe Ribeiro Bandeira,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,,"24-hour movement components, cardiorespiratory fitness and cardiometabolic risk in children: a network perspective"
414,Rafael dos Santos Henrique,,REVISTA CIÊNCIAS EM SAÚDE,,,Food consumption among adolescents and biological and adiposity outcomes
415,Clarice Maria de Lucena Martins,,Physical Activity Review,,,Effects of high-intensity interval training on executive functions in children and adolescents: A Systematic Review and Meta-analysis
416,Clarice Maria de Lucena Martins,,ADVANCES IN PHYSICAL EDUCATION,,,Effectiveness of High-Intensity Games versus Moderate-Intensity Games on Cardiorespiratory Fitness and Anthropometric Variables in Children
417,Paulo Felipe Ribeiro Bandeira,,ONLINE),,,Impactos do avanco da pandemia de COVID-19 na saude mental de profissionais de saude
418,Pedro Pinheiro Paes Neto,,EDUCACIÓN FÍSICA Y CIENCIA,,,COVID-19 E SUAS CONSEQUENCIAS NA RETOMADA DA PRATICA DO EXERCICIO FISICO
419,Paulo Felipe Ribeiro Bandeira,,Escritos de Psicología - Psychological Writings,,,Changes in children’s pattern of digital media use and parental variables during the COVID-19 pandemic
424,Tony Meireles dos Santos,,PSYCHOLOGICAL REPORTS,,,Acute Effects of Binaural Beats on Interoception in Individuals WITH Symptoms of Depression
425,Tony Meireles dos Santos,,INTERNATIONAL JOURNAL OF EXERCISE SCIENCE,,,Reliability of time to exhaustion above the power output at VOpeak in trained mountain bikers
430,Leonardo Gomes de Oliveira Luz,,Children-Basel,,,"Associations between biological maturation, chronological age, body mass index, sex, and motor competence in prepubertal children: a network analysis"
431,Paulo Felipe Ribeiro Bandeira,,Children-Basel,,,"Associations between Biological Maturation, Chronological Age, Body Mass Index, Sex, and Motor Competence in Prepubertal Children: A Network Analysis"
