id,docente,tipo_producao,ano,revista_ou_veiculo,titulo,doi,indexacao,pontuacao
46,Eduardo Zapaterra Campos,artigo,2025,RETOS,Validade e fiabilidade de dois testes submáximos para estimar o consumo máximo de oxigénio em adultos,10.47197/retos.v69.108833,Web of Science (JCR); Scopus (SJR),90
48,Fabiano De Souza Fonseca,artigo,2025,"BMC SPORTS SCIENCE, MEDICINE AND REHABILITATION","Effect of caffeine on attack decision- making in trained beach volleyball players following prolonged cognitive effort induced by social media use: a randomized, single-blind, crossover pilot study",10.1186/s13102-024-01052-8,Web of Science (JCR); Scopus (SJR),90
49,Fabiano De Souza Fonseca,artigo,2025,RETOS,Influence of sports specificity on motor coordination in brazilian children,10.47197/retos.v63.109562,Web of Science (JCR); Scopus (SJR),90
50,Fabiano De Souza Fonseca,artigo,2025,BIOLOGY OF SPORT,Running demands during top-up conditioning sessions compared to competitive matches in elite Portuguese soccer players,10.5114/biolsport.2025.151650,Web of Science (JCR); Scopus (SJR),90
51,Fabiano De Souza Fonseca,artigo,2025,Sport Sciences for Health,Is curve sprint performance in soccer related to other speed and power abilities across age categories?,10.1007/s11332-025-01570-z,Web of Science (JCR); Scopus (SJR),90
52,Fabiano De Souza Fonseca,artigo,2025,International Journal of Sports Science & Coaching,Can horizontal jump performance using minimal individual differences be used to regulate training load in young soccer players? A randomized controlled trial,10.1177/17479541251394001,Web of Science (JCR); Scopus (SJR),90
53,Fabiano De Souza Fonseca,artigo,2025,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,Effects of a Congested Match Schedule on Isometric Muscle Strength Performance in Elite Futsal Players,10.1519/jsc.0000000000005346,Web of Science (JCR); Scopus (SJR),90
54,Fabiano De Souza Fonseca,capitulo,2025,Movimento e Educação Física para a promoção da saúde e do bem-estar 2,Autorregulação no treinamento de força: aplicações dos métodos objetivos e subjetivos para prescrição do volume e intensidade,10.22533/at.ed.7641225130510,,45
55,Flavio Renato Barros Da Guarda,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,Análise da oferta de Políticas Públicas de esportes nas regiões metropolitanas do Brasil,10.55905/oelv23n4-058,,
56,Flavio Renato Barros Da Guarda,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,Produção científica no campo das políticas públicas de esporte e lazer no Brasil entre 2003 e 2023,10.55905/oelv23n2-040,,
57,Flavio Renato Barros Da Guarda,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Educação em saúde: contribuições para a educação física escolar no contexto brasileiro,10.55905/cuadv17n2-073,,
58,Flavio Renato Barros Da Guarda,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,Níveis de atividade física em pacientes hipertensos e diabéticos: um estudo na cidade de Caruaru- PE,10.55905/oelv23n4-186,,
59,Flavio Renato Barros Da Guarda,artigo,2025,LECTURAS EDUCACIÓN FÍSICA Y DEPORTES,Associação entre comportamento sedentário e custos públicos com doenças crônicas: protocolo de revisão sistemática,10.46642/efd.v30i324.7472,,
60,Flavio Renato Barros Da Guarda,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,Associação entre comportamento sedentário e gastos públicos com doenças crônicas em adultos e idosos não institucionalizados: uma revisão sistemática,10.55905/oelv23n7-099,,
61,Flavio Renato Barros Da Guarda,artigo,2025,REVISTA DE EDUCAÇÃO POPULAR,Educação superior para a saúde do campo e quilombola,10.14393/REP-2025-73746,,
62,Flavio Renato Barros Da Guarda,artigo,2026,International Journal of Environmental Research and Public Health,Effect of Physical Activity on Drug Expenditures for the Physical and Mental Health of Primary Care Users,10.3390/ijerph23020221,Web of Science (JCR); Scopus (SJR),90
64,Leonardo Gomes De Oliveira Luz,artigo,2025,RETOS,Sibling's resemblance in health- and performance-related fitness among Brazilian youth,10.47197/retos.v66.110390,Web of Science (JCR); Scopus (SJR),90
