grupo,excel_row,docente,ano,periodico,doi_identificado,titulo_extraido_local
22,155,Leonardo Gomes de Oliveira Luz,,Adolescents,10.3390/adolescents6010009,Analysis of Factors Associated with Active and Sedentary Behaviors of Children and Adolescents Considering Bronfenbrenner's Bioecological Theory: A Scoping Review Protocol
22,498,Rafael dos Santos Henrique,,Adolescents,10.3390/adolescents6010009,Analysis of Factors Associated with Active and Sedentary Behaviors of Children and Adolescents Considering Bronfenbrenner?s Bioecological Theory: A Scoping Review Protocol
23,157,Eduardo Zapaterra Campos,,Human Movement,,Influence of the exercise intensity during EA Sport Active 2 on physiology and psychology variables
23,158,André dos Santos Costa,,Human Movement,,Influence of the exercise intensity during EA Sport Active 2 on physiology and psychology variables
23,164,Tony Meireles dos Santos,,Human Movement,,Influence of the exercise intensity during EA Sport Active 2 on physiology and psychology variables
23,165,Lucas Eduardo Rodrigues dos Santos,,Human Movement,,Influence of the exercise intensity during EA Sport Active 2 on physiology and psychology variables
24,160,André dos Santos Costa,,Human Movement,,Criterion validity and accuracy of a heart rate monitor
24,162,Tony Meireles dos Santos,,Human Movement,,Criterion validity and accuracy of a heart rate monitor
24,163,Eduardo Zapaterra Campos,,Human Movement,,Criterion validity and accuracy of a heart rate monitor
25,167,Eduardo Zapaterra Campos,,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers
25,168,Leonardo Gomes de Oliveira Luz,,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers
25,331,Rafael dos Santos Henrique,,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers
26,179,Rafael dos Santos Henrique,,Vulnerable Children and Youth Studies (Print),10.1080/17450128.2025.2575325,Gender gap in gross motor coordination among low-income Brazilian children
26,379,Melissa Leandro Celestino,,Vulnerable Children and Youth Studies (Print),10.1080/17450128.2025.2575325,Gender Gap in Gross Motor Coordination among Low-Income Brazilian Children
27,182,Tony Meireles dos Santos,,Human Movement,,Validity of the Borg 6-20 categories obtegories obtained in incremental testing for prescribing aerobic exercise intensity: a systematic review
27,183,Eduardo Zapaterra Campos,,Human Movement,,Validity of the Borg 6-20 categories obtegories obtained in incremental testing for prescribing aerobic exercise intensity: a systematic review
28,197,Paulo Felipe Ribeiro Bandeira,,Journal of Sports Sciences,10.1080/02640414.2025.2540202,TGMD-3 short version: Evidence of validity and associations with sex in Irish children
28,198,Clarice Maria de Lucena Martins,,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,TGMD-3 short version: Evidence of validity and associations with sex in Irish children
29,207,Daniel da Rocha Queiroz,,Motriz,10.5016/s1980-6574e10248467,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?"
29,208,Ozeas de Lima Lins Filho,,Motriz,10.5016/s1980-6574e10248467,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?"
30,216,Tony Meireles dos Santos,,Frontiers in Immunology,,"The Relevance of a Physical Active Lifestyle and Physical Fitness on Immune Defense: Mitigating Disease Burden, With Focus on COVID-19 Consequences"
30,217,Eduardo Zapaterra Campos,,Frontiers in Immunology,,"The Relevance of a Physical Active Lifestyle and Physical Fitness on Immune Defense: Mitigating Disease Burden, With Focus on COVID-19 Consequences"
30,385,Lucas Eduardo Rodrigues dos Santos,,Frontiers in Immunology,,"The Relevance of a Physical Active Lifestyle and Physical Fitness on Immune Defense: Mitigating Disease Burden, With Focus on COVID-19 Consequences"
31,241,Paulo Felipe Ribeiro Bandeira,,RETOS,10.47197/retos.v72.113173,Psychometric properties of the knowledge and understanding questionnaire of the canadian assessment of physical literacy-2 in low-income brazilian children
31,246,Rafael dos Santos Henrique,,RETOS,10.47197/retos.v72.113173,Psychometric properties of the knowledge and understanding questionnaire of the canadian assessment of physical literacy-2 in low-income brazilian children
32,248,Daniel da Rocha Queiroz,,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,10.12820/rbafs.30e0411,National guidelines for physical activity in early childhood in American countries: a scoping review
32,249,Clarice Maria de Lucena Martins,,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,10.12820/rbafs.30e0411,National guidelines for physical activity in early childhood in American countries: a scoping review
33,257,Rafael dos Santos Henrique,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,Motor Competence Assessment in Low-Income Brazilian Children: Factorial Structure and Concurrent Validity
33,258,Paulo Felipe Ribeiro Bandeira,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,Motor Competence Assessment in Low-Income Brazilian Children: Factorial Structure and Concurrent Validity
33,259,Leonardo Gomes de Oliveira Luz,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,Motor Competence Assessment in Low-Income Brazilian Children: Factorial Structure and Concurrent Validity
34,262,Daniel da Rocha Queiroz,,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,Inter-individual variability in children's physical growth and body composition: Findings of longitudinal ELOS-Pre study
34,287,Rafael dos Santos Henrique,,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,Inter-individual variability in children's physical growth and body composition: Findings of longitudinal ELOS-Pre study
35,265,Lucas Eduardo Rodrigues dos Santos,,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,10.1080/02701367.2025.2515968,Transcranial Direct Current Stimulation Combined With or Without Caffeine: Effects on Training Volume and Pain Perception
35,266,Tony Meireles dos Santos,,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,10.1080/02701367.2025.2515968,Transcranial Direct Current Stimulation Combined With or Without Caffeine: Effects on Training Volume and Pain Perception
36,277,Leonardo Gomes de Oliveira Luz,,,,Evidencias e possibilidades para democratizar a participacao em atividades fisicas na infancia a na adolescencia
36,284,Leonardo Gomes de Oliveira Luz,,,,Evidencias e possibilidades para democratizar a participacao em atividades fisicas na infancia a na adolescencia
36,299,Leonardo Gomes de Oliveira Luz,,,,Evidencias e possibilidades para democratizar a participacao em atividades fisicas na infancia a na adolescencia
37,278,Paulo Felipe Ribeiro Bandeira,,,,Evidencias e possibilidades para demo- cratizar a participacao em atividades fisicas na infancia a na adolescen- cia
37,285,Paulo Felipe Ribeiro Bandeira,,,,Evidencias e possibilidades para demo- cratizar a participacao em atividades fisicas na infancia a na adolescen- cia
38,279,Leonardo Gomes de Oliveira Luz,,BMC PUBLIC HEALTH,,What are the correlates of intention to be physically active in Brazilian adolescents? A network analysis
38,280,Paulo Felipe Ribeiro Bandeira,,BMC PUBLIC HEALTH,,What are the correlates of intention to be physically active in Brazilian adolescents? A network analysis
39,297,Rafael dos Santos Henrique,,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,"Biological maturation, fat mass and cardiorespiratory fitness in prepubescent girls: A mediation analysis"
39,302,Leonardo Gomes de Oliveira Luz,,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,"Biological maturation, fat mass and cardiorespiratory fitness in prepubescent girls: A mediation analysis"
40,298,Rafael dos Santos Henrique,,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,Correlates of moderate-to-vigorous physical activity among prepubertal girls: a bioecological approach
40,301,Leonardo Gomes de Oliveira Luz,,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,Correlates of Moderate‐to‐Vigorous Physical Activity Among Prepubertal Girls: A Bioecological Approach
41,306,Saulo Fernandes Melo de Oliveira,,,,"In: Marcelo de Castro Haiachi, Ailton Fernando Santana de Oliveira e Marcos Bezerra de Almeida"
41,525,Saulo Fernandes Melo de Oliveira,,,,"In: Marcelo de Castro Haiachi, Ailton Fernando Santana de Oliveira e Marcos Bezerra de Almeida"
42,312,Rafael dos Santos Henrique,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,"Age- and Sex-Specific Percentile Curves for the Test of Gross Motor Development From 7,263 Children Aged 3-5 Years From 13 Countries"
42,323,Paulo Felipe Ribeiro Bandeira,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,"Age- and Sex-Specific Percentile Curves for the Test of Gross Motor Development From 7,263 Children Aged 3-5 Years From 13 Countries"
43,317,Paulo Felipe Ribeiro Bandeira,,American Journal of Human Biology,10.1002/ajhb.70024,Compliance with the 24-h movement behaviors guidelines among urban and rural Brazilian preschoolers
43,325,Clarice Maria de Lucena Martins,,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,Compliance with the 24-h movement behaviors guidelines among urban and rural Brazilian preschoolers
44,318,Rafael dos Santos Henrique,,SPORTS MEDICINE,,Motor Competence and Body Mass Index in the Preschool Years: A Pooled Cross-Sectional Analysis of 5545 Children from Eight Countries
44,319,Paulo Felipe Ribeiro Bandeira,,SPORTS MEDICINE,,Motor Competence and Body Mass Index in the Preschool Years: A Pooled Cross-Sectional Analysis of 5545 Children from Eight Countries
44,326,Clarice Maria de Lucena Martins,,SPORTS MEDICINE,,Motor Competence and Body Mass Index in the Preschool Years: A Pooled Cross-Sectional Analysis of 5545 Children from Eight Countries
45,321,Rafael dos Santos Henrique,,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,,Sex differences in 3¿ to 5¿year¿old children's motor competence: A pooled cross¿sectional analysis of 6241 children
45,322,Paulo Felipe Ribeiro Bandeira,,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,,Sex differences in 3- to 5-year-old children's motor competence: A pooled cross-sectional analysis of 6241 children
46,342,Vilde Gomes de Menezes,,,,"POLITICAS PUBLICAS E GESTAO NO ESPORTE E LAZER NAS REGIOES NORTE E NORDESTE DO BRASIL RECIFE, 2020"
46,344,Vilde Gomes de Menezes,,,,"POLITICAS PUBLICAS E GESTAO NO ESPORTE E LAZER NAS REGIOES NORTE E NORDESTE DO BRASIL RECIFE, 2020"
47,351,Daniel da Rocha Queiroz,,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,"The influence of anthropometric variables, body composition, propulsive force and maturation on 50m freestyle swimming performance in junior swimmers: An allometric approach"
47,352,Rafael dos Santos Henrique,,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,"The influence of anthropometric variables, body composition, propulsive force and maturation on 50m freestyle swimming performance in junior swimmers: An allometric approach"
48,370,Saulo Fernandes Melo de Oliveira,,JOURNAL OF HUMAN SPORT AND EXERCISE,,Content Validation and Inter-rater Reliability of a Protocol for The Precision Assessment of Boccia Players
48,528,Pedro Pinheiro Paes Neto,,JOURNAL OF HUMAN SPORT AND EXERCISE,,Content validation and inter-rater reliability of a protocol for the precision assessment of boccia players
49,377,Rafael dos Santos Henrique,,European Journal of Sport Science,,"Anthropometric variables, propulsive force and biological maturation: A mediation analysis in young swimmers"
49,378,Daniel da Rocha Queiroz,,European Journal of Sport Science,,"Anthropometric variables, propulsive force and biological maturation: A mediation analysis in young swimmers"
50,399,Rafael dos Santos Henrique,,RETOS,10.47197/retos.v72.113173,Sibling's resemblance in health- and performance-related fitness among Brazilian youth
50,406,Paulo Felipe Ribeiro Bandeira,,RETOS,10.47197/retos.v72.113173,Sibling's resemblance in health- and performance-related fitness among Brazilian youth
50,407,Leonardo Gomes de Oliveira Luz,,RETOS,10.47197/retos.v72.113173,Sibling's resemblance in health- and performance-related fitness among Brazilian youth
51,400,Clarice Maria de Lucena Martins,,SCIENCE & SPORTS,,A six-month multicomponent intervention improves Down syndrome adolescents? physical fitness
51,401,Paulo Felipe Ribeiro Bandeira,,SCIENCE & SPORTS,,A six-month multicomponent intervention improves Down syndrome adolescents? physical fitness
52,408,Rafael dos Santos Henrique,,Perceptual and Motor Skills,,Do individual and school characteristics influence the siblings resemblance of gross motor coordination among Brazilian youth?
52,409,Leonardo Gomes de Oliveira Luz,,PERCEPTUAL AND MOTOR SKILLS,,Do Individual and School Characteristics Influence the Siblings' Resemblance of Gross Motor Coordination Among Brazilian Youth?
53,430,Leonardo Gomes de Oliveira Luz,,Children-Basel,,"Associations between biological maturation, chronological age, body mass index, sex, and motor competence in prepubertal children: a network analysis"
53,431,Paulo Felipe Ribeiro Bandeira,,Children-Basel,,"Associations between Biological Maturation, Chronological Age, Body Mass Index, Sex, and Motor Competence in Prepubertal Children: A Network Analysis"
54,433,Paulo Felipe Ribeiro Bandeira,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,"The Korperkoordinations Test Fur Kinder for Iranian Youth: Factor Structure, Measurement Invariance, and Covariates"
54,435,Clarice Maria de Lucena Martins,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,"The Korperkoordinations Test Fur Kinder for Iranian Youth: Factor Structure, Measurement Invariance, and Covariates"
55,434,Clarice Maria de Lucena Martins,,PERCEPTUAL AND MOTOR SKILLS,,Investigating the Construct Validity and Reliability of the Test of Motor Competence Across Iranians? Lifespan
55,436,Paulo Felipe Ribeiro Bandeira,,PERCEPTUAL AND MOTOR SKILLS,,Investigating the Construct Validity and Reliability of the Test of Motor Competence Across Iranians? Lifespan
56,439,Saulo Fernandes Melo de Oliveira,,Advances in Rehabilitation,10.5114/areh.2025.153216,"Pain, discomfort and psychobiological factors in wheelchair tennis athletes following COVID-19 lockdowns"
56,440,Pedro Pinheiro Paes Neto,,Advances in Rehabilitation,10.5114/areh.2025.153216,"Pain, discomfort and psychobiological factors in wheelchair tennis athletes following COVID-19 lockdowns"
57,441,Tony Meireles dos Santos,,JOURNAL OF PHYSICAL EDUCATION (ONLINE),10.4025/jphyseduc.v36i1.3607,Integration of cyberculture in physical education courses at federal universities in Northeastern Brazil
57,445,Vilde Gomes de Menezes,,JOURNAL OF PHYSICAL EDUCATION (ONLINE),10.4025/jphyseduc.v36i1.3607,Integration of cyberculture in physical education courses at federal universities in Northeastern Brazil
